City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,gunsan,35.9786,126.7114,21.939999999999998,33,75,4.12,KR,32400
69,oranjemund,-28.55,16.4333,12.689999999999998,74,99,10.38,NA,7200
70,kenai,60.5544,-151.2583,12.050000000000011,56,0,3.09,US,-28800
71,coquimbo,-29.9533,-71.3436,12.850000000000023,100,100,1.03,CL,-14400
72,ouadda,8.0777,22.4007,24.80000000000001,73,53,1.25,CF,3600
73,floro,61.5996,5.0328,9.04000000000002,93,75,3.09,NO,7200
74,kunszentmarton,46.8392,20.2888,12.220000000000027,96,100,4.56,HU,7200
75,inyonga,-6.7167,32.0667,19.470000000000027,83,75,1.73,TZ,10800
76,chonchi,-42.6128,-73.8092,12.840000000000032,99,100,0.66,CL,-14400
77,iquique,-20.2208,-70.1431,18.02000000000004,68,3,0.89,CL,-14400
78,namibe,-15.1961,12.1522,22.33000000000004,76,11,2.39,AO,3600
79,mersa matruh,31.3525,27.2453,19.210000000000036,74,15,5.11,EG,10800
80,port elizabeth,-33.918,25.5701,14.620000000000005,85,20,5.14,ZA,7200
81,bonthe,7.5264,-12.505,26.430000000000007,84,78,1.67,SL,0
82,lievin,50.4198,2.7807,12.010000000000048,95,100,4.7,FR,7200
83,el abiodh sidi cheikh,32.893,0.5484,19.760000000000048,42,53,3.47,DZ,3600
84,caetite,-14.0694,-42.475,19.410000000000025,68,85,1.24,BR,-10800
85,acapulco de juarez,16.8634,-99.8901,27.900000000000034,74,40,1.54,MX,-21600
86,xichang,27.8964,102.2634,18.260000000000048,48,100,1.38,CN,28800
87,hamilton,39.1834,-84.5333,20.54000000000002,88,0,0.0,US,-14400
88,deir ez-zor,35.3359,40.1408,29.710000000000036,19,99,7.81,SY,10800
89,howrah,22.5892,88.3103,33.0,70,40,5.14,IN,19800
90,boyalik,41.2634,28.6314,12.650000000000034,74,100,8.18,TR,10800
91,maragogi,-9.0122,-35.2225,24.189999999999998,83,38,1.89,BR,-10800
92,fruita,39.1589,-108.729,16.640000000000043,54,0,5.14,US,-21600
93,tolanaro,-25.0319,46.9987,25.04000000000002,83,40,8.23,MG,10800
94,santa ana,33.7456,-117.8678,16.890000000000043,81,20,1.54,US,-25200
95,port augusta,-32.5,137.7667,19.840000000000032,46,6,5.68,AU,34200
96,sinabang,2.4803,96.3801,30.75,69,19,4.58,ID,25200
97,shihezi,44.3,86.0333,31.55000000000001,9,82,2.24,CN,28800
98,klyuchi,52.2667,79.1667,16.74000000000001,28,86,3.07,RU,25200
99,dudinka,69.4058,86.1778,-12.42999999999995,90,78,6.87,RU,25200
100,sitka,57.0531,-135.33,11.939999999999998,54,100,8.23,US,-28800
101,soure,-0.7167,-48.5233,25.439999999999998,84,58,2.37,BR,-10800
102,tindouf,27.6711,-8.1474,23.25,35,0,4.12,DZ,3600
103,isla mujeres,21.2311,-86.731,28.03000000000003,87,77,5.89,MX,-18000
104,lerwick,60.1545,-1.1494,7.0,83,0,2.57,GB,3600
105,benguela,-12.5763,13.4055,24.54000000000002,81,18,1.85,AO,3600
106,fale old settlement,-9.3852,-171.2468,28.83000000000004,76,24,5.88,TK,46800
107,san antonio de pale,-1.4014,5.6325,28.04000000000002,80,95,4.58,GQ,3600
108,ust-nera,64.5667,143.2,3.57000000000005,80,100,1.62,RU,36000
109,kourou,5.1552,-52.6478,24.03000000000003,92,91,3.35,GF,-10800
110,port lincoln,-34.7333,135.8667,15.980000000000018,58,11,4.64,AU,34200
111,ta`u,-14.2336,-169.5144,27.480000000000018,77,27,4.65,AS,-39600
112,formosa do rio preto,-11.0483,-45.1931,20.600000000000023,91,99,1.11,BR,-10800
113,la passe,45.5549,-0.8967,11.100000000000023,86,90,2.53,FR,7200
114,bilibino,68.0546,166.4372,1.1100000000000136,99,100,1.31,RU,43200
115,tres arroyos,-38.3739,-60.2798,8.950000000000045,55,79,5.47,AR,-10800
116,ribeira grande,38.5167,-28.7,15.990000000000009,86,66,4.02,PT,0
117,yatou,37.15,122.3833,20.510000000000048,40,40,6.36,CN,28800
118,cabo san lucas,22.8909,-109.9124,23.120000000000005,67,35,7.28,MX,-25200
